customer_id,account_status,last_transaction_date,wallet_status,dormant_handling_status,dormancy_flag,required_action
CUST100258,DORMANT,2026-04-17,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100260,DORMANT,2026-02-07,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100270,DORMANT,2026-07-24,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100288,DORMANT,2026-02-24,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100302,DORMANT,2026-01-31,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100308,DORMANT,2026-01-22,PENDING,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100316,DORMANT,2026-03-06,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100329,DORMANT,2026-05-17,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100331,DORMANT,2026-06-04,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100345,DORMANT,2026-06-25,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100351,DORMANT,2026-01-11,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100356,DORMANT,2026-01-04,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100363,DORMANT,2026-03-22,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100385,DORMANT,2026-01-26,PENDING,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100406,DORMANT,2026-03-04,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100443,DORMANT,2026-04-28,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100451,DORMANT,2026-04-03,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100463,DORMANT,2026-07-12,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100468,DORMANT,2026-06-09,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100479,DORMANT,2026-04-29,REVIEW,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100492,DORMANT,2026-01-10,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100542,DORMANT,2026-05-19,REVIEW,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100546,DORMANT,2026-06-28,REVIEW,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100560,DORMANT,2026-06-09,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100583,DORMANT,2026-04-05,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100587,DORMANT,2026-05-21,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100595,DORMANT,2026-02-20,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100600,DORMANT,2026-06-05,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100601,DORMANT,2026-04-27,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100602,DORMANT,2026-01-16,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100609,DORMANT,2026-01-03,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100621,DORMANT,2026-03-31,REVIEW,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100645,DORMANT,2026-07-01,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100646,DORMANT,2026-03-15,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100661,DORMANT,2026-06-10,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100680,DORMANT,2026-07-03,PENDING,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100684,DORMANT,2026-05-10,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100700,DORMANT,2026-04-11,REVIEW,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100731,DORMANT,2026-07-19,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100754,DORMANT,2026-06-04,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100757,DORMANT,2026-02-15,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100759,DORMANT,2026-06-24,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100762,DORMANT,2026-06-19,PENDING,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100781,DORMANT,2026-04-28,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100782,DORMANT,2026-04-02,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100784,DORMANT,2026-06-23,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100793,DORMANT,2026-03-07,REVIEW,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100813,DORMANT,2026-03-16,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100855,DORMANT,2026-06-21,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100889,DORMANT,2026-07-21,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100913,DORMANT,2026-02-07,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100918,DORMANT,2026-01-29,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100920,DORMANT,2026-05-15,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100943,DORMANT,2026-01-14,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100953,DORMANT,2026-02-14,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100963,DORMANT,2026-01-01,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100979,DORMANT,2026-06-06,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100980,DORMANT,2026-04-16,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100988,DORMANT,2026-04-07,PENDING,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
