customer_id,screening_status,screening_date,screening_reference,screening_evidence_present
CUST100070,CLEAR,2026-08-01,SCR-CUST100070,True
CUST100071,NO_MATCH,2026-08-01,SCR-CUST100071,True
CUST100072,CLEAR,2026-08-01,SCR-CUST100072,True
CUST100073,PENDING,2026-08-01,,False
CUST100074,PENDING,2026-08-01,SCR-CUST100074,True
CUST100075,NO_MATCH,2026-08-01,SCR-CUST100075,True
CUST100076,CLEAR,2026-08-01,SCR-CUST100076,True
CUST100077,CLEAR,2026-08-01,SCR-CUST100077,True
CUST100078,CLEAR,2026-08-01,SCR-CUST100078,True
CUST100079,CLEAR,2026-08-01,SCR-CUST100079,True
CUST100080,CLEAR,2026-08-01,SCR-CUST100080,True
CUST100081,CLEAR,2026-08-01,SCR-CUST100081,True
CUST100082,CLEAR,2026-08-01,SCR-CUST100082,True
CUST100083,CLEAR,2026-08-01,SCR-CUST100083,True
CUST100084,CLEAR,2026-08-01,SCR-CUST100084,True
CUST100085,CLEAR,2026-08-01,SCR-CUST100085,True
CUST100086,CLEAR,2026-08-01,SCR-CUST100086,True
CUST100087,CLEAR,2026-08-01,SCR-CUST100087,True
CUST100088,CLEAR,2026-08-01,SCR-CUST100088,True
CUST100089,NO_MATCH,2026-08-01,SCR-CUST100089,True
CUST100090,PENDING,2026-08-01,SCR-CUST100090,True
CUST100091,NO_MATCH,2026-08-01,SCR-CUST100091,True
CUST100092,PENDING,2026-08-01,SCR-CUST100092,True
CUST100093,NO_MATCH,2026-08-01,SCR-CUST100093,True
CUST100094,CLEAR,2026-08-01,SCR-CUST100094,True
CUST100095,CLEAR,2026-08-01,SCR-CUST100095,True
CUST100096,CLEAR,2026-08-01,SCR-CUST100096,True
CUST100097,CLEAR,2026-08-01,SCR-CUST100097,True
CUST100098,CLEAR,2026-08-01,SCR-CUST100098,True
CUST100099,CLEAR,2026-08-01,SCR-CUST100099,True
CUST100100,NO_MATCH,2026-08-01,SCR-CUST100100,True
CUST100101,CLEAR,2026-08-01,SCR-CUST100101,True
CUST100102,NO_MATCH,2026-08-01,SCR-CUST100102,True
CUST100103,CLEAR,2026-08-01,SCR-CUST100103,True
CUST100104,CLEAR,2026-08-01,SCR-CUST100104,True
CUST100105,CLEAR,2026-08-01,SCR-CUST100105,True
CUST100106,CLEAR,2026-08-01,SCR-CUST100106,True
CUST100107,CLEAR,2026-08-01,SCR-CUST100107,True
CUST100108,CLEAR,2026-08-01,SCR-CUST100108,True
CUST100109,NO_MATCH,2026-08-01,SCR-CUST100109,True
CUST100110,CLEAR,2026-08-01,SCR-CUST100110,True
CUST100111,CLEAR,2026-08-01,SCR-CUST100111,True
CUST100112,CLEAR,2026-08-01,SCR-CUST100112,True
CUST100113,CLEAR,2026-08-01,SCR-CUST100113,True
CUST100114,CLEAR,2026-08-01,SCR-CUST100114,True
CUST100115,CLEAR,2026-08-01,SCR-CUST100115,True
CUST100116,CLEAR,2026-08-01,SCR-CUST100116,True
CUST100117,CLEAR,2026-08-01,SCR-CUST100117,True
CUST100118,CLEAR,2026-08-01,SCR-CUST100118,True
CUST100119,CLEAR,2026-08-01,SCR-CUST100119,True
CUST100120,CLEAR,2026-08-01,SCR-CUST100120,True
CUST100121,CLEAR,2026-08-01,SCR-CUST100121,True
CUST100122,CLEAR,2026-08-01,SCR-CUST100122,True
CUST100123,CLEAR,2026-08-01,SCR-CUST100123,True
CUST100124,CLEAR,2026-08-01,SCR-CUST100124,True
CUST100125,CLEAR,2026-08-01,SCR-CUST100125,True
CUST100126,CLEAR,2026-08-01,SCR-CUST100126,True
CUST100127,CLEAR,2026-08-01,SCR-CUST100127,True
CUST100128,CLEAR,2026-08-01,SCR-CUST100128,True
CUST100129,NO_MATCH,2026-08-01,SCR-CUST100129,True
CUST100130,CLEAR,2026-08-01,SCR-CUST100130,True
CUST100131,HIGH_RISK,2026-08-01,SCR-CUST100131,True
CUST100132,CLEAR,2026-08-01,SCR-CUST100132,True
CUST100133,CLEAR,2026-08-01,SCR-CUST100133,True
CUST100134,CLEAR,2026-08-01,SCR-CUST100134,True
CUST100135,CLEAR,2026-08-01,SCR-CUST100135,True
CUST100136,PENDING,2026-08-01,SCR-CUST100136,True
CUST100137,CLEAR,2026-08-01,SCR-CUST100137,True
CUST100138,CLEAR,2026-08-01,SCR-CUST100138,True
CUST100139,CLEAR,2026-08-01,SCR-CUST100139,True
CUST100140,CLEAR,2026-08-01,SCR-CUST100140,True
CUST100141,CLEAR,2026-08-01,SCR-CUST100141,True
CUST100142,NO_MATCH,2026-08-01,SCR-CUST100142,True
CUST100143,CLEAR,2026-08-01,SCR-CUST100143,True
CUST100144,CLEAR,2026-08-01,SCR-CUST100144,True
CUST100145,CLEAR,2026-08-01,SCR-CUST100145,True
CUST100146,CLEAR,2026-08-01,SCR-CUST100146,True
CUST100147,CLEAR,2026-08-01,SCR-CUST100147,True
CUST100148,PENDING,2026-08-01,SCR-CUST100148,True
CUST100149,CLEAR,2026-08-01,SCR-CUST100149,True
CUST100150,CLEAR,2026-08-01,SCR-CUST100150,True
CUST100151,CLEAR,2026-08-01,SCR-CUST100151,True
CUST100152,CLEAR,2026-08-01,SCR-CUST100152,True
CUST100153,CLEAR,2026-08-01,SCR-CUST100153,True
CUST100154,CLEAR,2026-08-01,SCR-CUST100154,True
CUST100155,CLEAR,2026-08-01,SCR-CUST100155,True
CUST100156,HIGH_RISK,2026-08-01,SCR-CUST100156,True
CUST100157,CLEAR,2026-08-01,SCR-CUST100157,True
CUST100158,NO_MATCH,2026-08-01,SCR-CUST100158,True
CUST100159,CLEAR,2026-08-01,SCR-CUST100159,True
CUST100160,NO_MATCH,2026-08-01,SCR-CUST100160,True
CUST100161,NO_MATCH,2026-08-01,SCR-CUST100161,True
CUST100162,CLEAR,2026-08-01,SCR-CUST100162,True
CUST100163,CLEAR,2026-08-01,SCR-CUST100163,True
CUST100164,CLEAR,2026-08-01,SCR-CUST100164,True
CUST100165,CLEAR,2026-08-01,SCR-CUST100165,True
CUST100166,CLEAR,2026-08-01,SCR-CUST100166,True
CUST100167,CLEAR,2026-08-01,SCR-CUST100167,True
CUST100168,CLEAR,2026-08-01,SCR-CUST100168,True
CUST100169,CLEAR,2026-08-01,SCR-CUST100169,True
CUST100170,NO_MATCH,2026-08-01,SCR-CUST100170,True
CUST100171,CLEAR,2026-08-01,SCR-CUST100171,True
CUST100172,CLEAR,2026-08-01,SCR-CUST100172,True
CUST100173,NO_MATCH,2026-08-01,SCR-CUST100173,True
CUST100174,CLEAR,2026-08-01,SCR-CUST100174,True
CUST100175,CLEAR,2026-08-01,SCR-CUST100175,True
CUST100176,PENDING,2026-08-01,SCR-CUST100176,True
CUST100177,CLEAR,2026-08-01,SCR-CUST100177,True
CUST100178,CLEAR,2026-08-01,SCR-CUST100178,True
CUST100179,CLEAR,2026-08-01,SCR-CUST100179,True
CUST100180,NO_MATCH,2026-08-01,SCR-CUST100180,True
CUST100181,CLEAR,2026-08-01,SCR-CUST100181,True
CUST100182,CLEAR,2026-08-01,SCR-CUST100182,True
CUST100183,CLEAR,2026-08-01,SCR-CUST100183,True
CUST100184,CLEAR,2026-08-01,SCR-CUST100184,True
CUST100185,CLEAR,2026-08-01,SCR-CUST100185,True
CUST100186,CLEAR,2026-08-01,SCR-CUST100186,True
CUST100187,PENDING,2026-08-01,SCR-CUST100187,True
CUST100188,CLEAR,2026-08-01,SCR-CUST100188,True
CUST100189,CLEAR,2026-08-01,SCR-CUST100189,True
CUST100190,CLEAR,2026-08-01,SCR-CUST100190,True
CUST100191,CLEAR,2026-08-01,SCR-CUST100191,True
CUST100192,CLEAR,2026-08-01,SCR-CUST100192,True
CUST100193,CLEAR,2026-08-01,SCR-CUST100193,True
CUST100194,CLEAR,2026-08-01,SCR-CUST100194,True
CUST100195,CLEAR,2026-08-01,SCR-CUST100195,True
CUST100196,CLEAR,2026-08-01,SCR-CUST100196,True
CUST100197,CLEAR,2026-08-01,SCR-CUST100197,True
CUST100198,PENDING,2026-08-01,,False
CUST100199,NO_MATCH,2026-08-01,SCR-CUST100199,True
CUST100200,CLEAR,2026-08-01,SCR-CUST100200,True
CUST100201,NO_MATCH,2026-08-01,SCR-CUST100201,True
CUST100202,NO_MATCH,2026-08-01,SCR-CUST100202,True
CUST100203,CLEAR,2026-08-01,SCR-CUST100203,True
CUST100204,NO_MATCH,2026-08-01,SCR-CUST100204,True
CUST100205,CLEAR,2026-08-01,SCR-CUST100205,True
CUST100206,CLEAR,2026-08-01,SCR-CUST100206,True
CUST100207,CLEAR,2026-08-01,SCR-CUST100207,True
CUST100208,CLEAR,2026-08-01,SCR-CUST100208,True
CUST100209,CLEAR,2026-08-01,SCR-CUST100209,True
CUST100210,CLEAR,2026-08-01,SCR-CUST100210,True
CUST100211,CLEAR,2026-08-01,SCR-CUST100211,True
CUST100212,CLEAR,2026-08-01,SCR-CUST100212,True
CUST100213,CLEAR,2026-08-01,SCR-CUST100213,True
CUST100214,CLEAR,2026-08-01,SCR-CUST100214,True
CUST100215,CLEAR,2026-08-01,SCR-CUST100215,True
CUST100216,CLEAR,2026-08-01,SCR-CUST100216,True
CUST100217,CLEAR,2026-08-01,SCR-CUST100217,True
CUST100218,CLEAR,2026-08-01,SCR-CUST100218,True
CUST100219,CLEAR,2026-08-01,SCR-CUST100219,True
CUST100220,CLEAR,2026-08-01,SCR-CUST100220,True
CUST100221,CLEAR,2026-08-01,SCR-CUST100221,True
CUST100222,CLEAR,2026-08-01,SCR-CUST100222,True
CUST100223,CLEAR,2026-08-01,SCR-CUST100223,True
CUST100224,CLEAR,2026-08-01,SCR-CUST100224,True
CUST100225,CLEAR,2026-08-01,SCR-CUST100225,True
CUST100226,CLEAR,2026-08-01,SCR-CUST100226,True
CUST100227,CLEAR,2026-08-01,SCR-CUST100227,True
CUST100228,CLEAR,2026-08-01,SCR-CUST100228,True
CUST100229,CLEAR,2026-08-01,SCR-CUST100229,True
CUST100230,CLEAR,2026-08-01,SCR-CUST100230,True
CUST100231,CLEAR,2026-08-01,SCR-CUST100231,True
CUST100232,CLEAR,2026-08-01,SCR-CUST100232,True
CUST100233,CLEAR,2026-08-01,SCR-CUST100233,True
CUST100234,CLEAR,2026-08-01,SCR-CUST100234,True
CUST100235,CLEAR,2026-08-01,SCR-CUST100235,True
CUST100236,NO_MATCH,2026-08-01,SCR-CUST100236,True
CUST100237,CLEAR,2026-08-01,SCR-CUST100237,True
CUST100238,CLEAR,2026-08-01,SCR-CUST100238,True
CUST100239,CLEAR,2026-08-01,SCR-CUST100239,True
CUST100240,HIGH_RISK,2026-08-01,SCR-CUST100240,True
CUST100241,CLEAR,2026-08-01,SCR-CUST100241,True
CUST100242,NO_MATCH,2026-08-01,SCR-CUST100242,True
CUST100243,CLEAR,2026-08-01,SCR-CUST100243,True
CUST100244,CLEAR,2026-08-01,SCR-CUST100244,True
CUST100245,CLEAR,2026-08-01,SCR-CUST100245,True
CUST100246,CLEAR,2026-08-01,SCR-CUST100246,True
CUST100247,CLEAR,2026-08-01,SCR-CUST100247,True
CUST100248,PENDING,2026-08-01,SCR-CUST100248,True
CUST100249,CLEAR,2026-08-01,SCR-CUST100249,True
CUST100250,NO_MATCH,2026-08-01,SCR-CUST100250,True
CUST100251,CLEAR,2026-08-01,SCR-CUST100251,True
CUST100252,CLEAR,2026-08-01,SCR-CUST100252,True
CUST100253,CLEAR,2026-08-01,SCR-CUST100253,True
CUST100254,CLEAR,2026-08-01,SCR-CUST100254,True
CUST100255,CLEAR,2026-08-01,SCR-CUST100255,True
CUST100256,CLEAR,2026-08-01,SCR-CUST100256,True
CUST100257,CLEAR,2026-08-01,SCR-CUST100257,True
CUST100258,CLEAR,2026-08-01,SCR-CUST100258,True
CUST100259,CLEAR,2026-08-01,SCR-CUST100259,True
CUST100260,CLEAR,2026-08-01,SCR-CUST100260,True
CUST100261,CLEAR,2026-08-01,SCR-CUST100261,True
CUST100262,CLEAR,2026-08-01,SCR-CUST100262,True
CUST100263,CLEAR,2026-08-01,SCR-CUST100263,True
CUST100264,CLEAR,2026-08-01,SCR-CUST100264,True
CUST100265,CLEAR,2026-08-01,SCR-CUST100265,True
CUST100266,CLEAR,2026-08-01,SCR-CUST100266,True
CUST100267,CLEAR,2026-08-01,SCR-CUST100267,True
CUST100268,NO_MATCH,2026-08-01,SCR-CUST100268,True
CUST100269,CLEAR,2026-08-01,SCR-CUST100269,True
CUST100270,NO_MATCH,2026-08-01,SCR-CUST100270,True
CUST100271,HIGH_RISK,2026-08-01,SCR-CUST100271,True
CUST100272,CLEAR,2026-08-01,SCR-CUST100272,True
CUST100273,CLEAR,2026-08-01,SCR-CUST100273,True
CUST100274,CLEAR,2026-08-01,SCR-CUST100274,True
CUST100275,CLEAR,2026-08-01,SCR-CUST100275,True
CUST100276,CLEAR,2026-08-01,SCR-CUST100276,True
CUST100277,CLEAR,2026-08-01,SCR-CUST100277,True
CUST100278,CLEAR,2026-08-01,SCR-CUST100278,True
CUST100279,CLEAR,2026-08-01,SCR-CUST100279,True
CUST100280,CLEAR,2026-08-01,SCR-CUST100280,True
CUST100281,CLEAR,2026-08-01,SCR-CUST100281,True
CUST100282,CLEAR,2026-08-01,SCR-CUST100282,True
CUST100283,CLEAR,2026-08-01,SCR-CUST100283,True
CUST100284,CLEAR,2026-08-01,SCR-CUST100284,True
CUST100285,CLEAR,2026-08-01,SCR-CUST100285,True
CUST100286,CLEAR,2026-08-01,SCR-CUST100286,True
CUST100287,CLEAR,2026-08-01,SCR-CUST100287,True
CUST100288,CLEAR,2026-08-01,SCR-CUST100288,True
CUST100289,CLEAR,2026-08-01,SCR-CUST100289,True
CUST100290,CLEAR,2026-08-01,SCR-CUST100290,True
CUST100291,CLEAR,2026-08-01,SCR-CUST100291,True
CUST100292,CLEAR,2026-08-01,SCR-CUST100292,True
CUST100293,CLEAR,2026-08-01,SCR-CUST100293,True
CUST100294,CLEAR,2026-08-01,SCR-CUST100294,True
CUST100295,NO_MATCH,2026-08-01,SCR-CUST100295,True
CUST100296,CLEAR,2026-08-01,SCR-CUST100296,True
CUST100297,CLEAR,2026-08-01,SCR-CUST100297,True
CUST100298,CLEAR,2026-08-01,SCR-CUST100298,True
CUST100299,CLEAR,2026-08-01,SCR-CUST100299,True
CUST100300,NO_MATCH,2026-08-01,SCR-CUST100300,True
CUST100301,CLEAR,2026-08-01,SCR-CUST100301,True
CUST100302,CLEAR,2026-08-01,SCR-CUST100302,True
CUST100303,NO_MATCH,2026-08-01,SCR-CUST100303,True
CUST100304,CLEAR,2026-08-01,SCR-CUST100304,True
CUST100305,CLEAR,2026-08-01,SCR-CUST100305,True
CUST100306,CLEAR,2026-08-01,SCR-CUST100306,True
CUST100307,CLEAR,2026-08-01,SCR-CUST100307,True
CUST100308,CLEAR,2026-08-01,SCR-CUST100308,True
CUST100309,CLEAR,2026-08-01,SCR-CUST100309,True
CUST100310,NO_MATCH,2026-08-01,SCR-CUST100310,True
CUST100311,NO_MATCH,2026-08-01,SCR-CUST100311,True
CUST100312,CLEAR,2026-08-01,SCR-CUST100312,True
CUST100313,CLEAR,2026-08-01,SCR-CUST100313,True
CUST100314,CLEAR,2026-08-01,SCR-CUST100314,True
CUST100315,CLEAR,2026-08-01,SCR-CUST100315,True
CUST100316,CLEAR,2026-08-01,SCR-CUST100316,True
CUST100317,CLEAR,2026-08-01,SCR-CUST100317,True
CUST100318,CLEAR,2026-08-01,SCR-CUST100318,True
CUST100319,CLEAR,2026-08-01,SCR-CUST100319,True
CUST100320,CLEAR,2026-08-01,SCR-CUST100320,True
CUST100321,CLEAR,2026-08-01,SCR-CUST100321,True
CUST100322,CLEAR,2026-08-01,SCR-CUST100322,True
CUST100323,CLEAR,2026-08-01,SCR-CUST100323,True
CUST100324,CLEAR,2026-08-01,SCR-CUST100324,True
CUST100325,PENDING,2026-08-01,SCR-CUST100325,True
CUST100326,CLEAR,2026-08-01,SCR-CUST100326,True
CUST100327,PENDING,2026-08-01,SCR-CUST100327,True
CUST100328,CLEAR,2026-08-01,SCR-CUST100328,True
CUST100329,CLEAR,2026-08-01,SCR-CUST100329,True
CUST100330,NO_MATCH,2026-08-01,SCR-CUST100330,True
CUST100331,CLEAR,2026-08-01,SCR-CUST100331,True
CUST100332,CLEAR,2026-08-01,SCR-CUST100332,True
CUST100333,CLEAR,2026-08-01,SCR-CUST100333,True
CUST100334,CLEAR,2026-08-01,SCR-CUST100334,True
CUST100335,CLEAR,2026-08-01,SCR-CUST100335,True
CUST100336,CLEAR,2026-08-01,SCR-CUST100336,True
CUST100337,HIGH_RISK,2026-08-01,SCR-CUST100337,True
CUST100338,CLEAR,2026-08-01,SCR-CUST100338,True
CUST100339,CLEAR,2026-08-01,SCR-CUST100339,True
CUST100340,CLEAR,2026-08-01,SCR-CUST100340,True
CUST100341,CLEAR,2026-08-01,SCR-CUST100341,True
CUST100342,CLEAR,2026-08-01,SCR-CUST100342,True
CUST100343,CLEAR,2026-08-01,SCR-CUST100343,True
CUST100344,CLEAR,2026-08-01,SCR-CUST100344,True
CUST100345,CLEAR,2026-08-01,SCR-CUST100345,True
CUST100346,CLEAR,2026-08-01,SCR-CUST100346,True
CUST100347,CLEAR,2026-08-01,SCR-CUST100347,True
CUST100348,CLEAR,2026-08-01,SCR-CUST100348,True
CUST100349,CLEAR,2026-08-01,SCR-CUST100349,True
CUST100350,CLEAR,2026-08-01,SCR-CUST100350,True
CUST100351,CLEAR,2026-08-01,SCR-CUST100351,True
CUST100352,CLEAR,2026-08-01,SCR-CUST100352,True
CUST100353,CLEAR,2026-08-01,SCR-CUST100353,True
CUST100354,CLEAR,2026-08-01,SCR-CUST100354,True
CUST100355,CLEAR,2026-08-01,SCR-CUST100355,True
CUST100356,CLEAR,2026-08-01,SCR-CUST100356,True
CUST100357,CLEAR,2026-08-01,SCR-CUST100357,True
CUST100358,CLEAR,2026-08-01,SCR-CUST100358,True
CUST100359,CLEAR,2026-08-01,SCR-CUST100359,True
CUST100360,CLEAR,2026-08-01,SCR-CUST100360,True
CUST100361,CLEAR,2026-08-01,SCR-CUST100361,True
CUST100362,CLEAR,2026-08-01,SCR-CUST100362,True
CUST100363,CLEAR,2026-08-01,SCR-CUST100363,True
CUST100364,CLEAR,2026-08-01,SCR-CUST100364,True
CUST100365,CLEAR,2026-08-01,SCR-CUST100365,True
CUST100366,CLEAR,2026-08-01,SCR-CUST100366,True
CUST100367,CLEAR,2026-08-01,SCR-CUST100367,True
CUST100368,CLEAR,2026-08-01,SCR-CUST100368,True
CUST100369,CLEAR,2026-08-01,SCR-CUST100369,True
CUST100370,HIGH_RISK,2026-08-01,SCR-CUST100370,True
CUST100371,CLEAR,2026-08-01,SCR-CUST100371,True
CUST100372,PENDING,2026-08-01,SCR-CUST100372,True
CUST100373,CLEAR,2026-08-01,SCR-CUST100373,True
CUST100374,CLEAR,2026-08-01,SCR-CUST100374,True
CUST100375,CLEAR,2026-08-01,SCR-CUST100375,True
CUST100376,CLEAR,2026-08-01,SCR-CUST100376,True
CUST100377,NO_MATCH,2026-08-01,SCR-CUST100377,True
CUST100378,CLEAR,2026-08-01,SCR-CUST100378,True
CUST100379,NO_MATCH,2026-08-01,SCR-CUST100379,True
CUST100380,CLEAR,2026-08-01,SCR-CUST100380,True
CUST100381,PENDING,2026-08-01,SCR-CUST100381,True
CUST100382,NO_MATCH,2026-08-01,SCR-CUST100382,True
CUST100383,CLEAR,2026-08-01,SCR-CUST100383,True
CUST100384,CLEAR,2026-08-01,SCR-CUST100384,True
CUST100385,CLEAR,2026-08-01,SCR-CUST100385,True
CUST100386,CLEAR,2026-08-01,SCR-CUST100386,True
CUST100387,NO_MATCH,2026-08-01,SCR-CUST100387,True
CUST100388,CLEAR,2026-08-01,SCR-CUST100388,True
CUST100389,HIGH_RISK,2026-08-01,SCR-CUST100389,True
CUST100390,CLEAR,2026-08-01,SCR-CUST100390,True
CUST100391,CLEAR,2026-08-01,SCR-CUST100391,True
CUST100392,NO_MATCH,2026-08-01,SCR-CUST100392,True
CUST100393,CLEAR,2026-08-01,SCR-CUST100393,True
CUST100394,CLEAR,2026-08-01,SCR-CUST100394,True
CUST100395,NO_MATCH,2026-08-01,SCR-CUST100395,True
CUST100396,CLEAR,2026-08-01,SCR-CUST100396,True
CUST100397,CLEAR,2026-08-01,SCR-CUST100397,True
CUST100398,CLEAR,2026-08-01,SCR-CUST100398,True
CUST100399,CLEAR,2026-08-01,SCR-CUST100399,True
CUST100400,CLEAR,2026-08-01,SCR-CUST100400,True
CUST100401,CLEAR,2026-08-01,SCR-CUST100401,True
CUST100402,CLEAR,2026-08-01,SCR-CUST100402,True
CUST100403,NO_MATCH,2026-08-01,SCR-CUST100403,True
CUST100404,PENDING,2026-08-01,SCR-CUST100404,True
CUST100405,CLEAR,2026-08-01,SCR-CUST100405,True
CUST100406,CLEAR,2026-08-01,SCR-CUST100406,True
CUST100407,CLEAR,2026-08-01,SCR-CUST100407,True
CUST100408,CLEAR,2026-08-01,SCR-CUST100408,True
CUST100409,CLEAR,2026-08-01,SCR-CUST100409,True
CUST100410,CLEAR,2026-08-01,SCR-CUST100410,True
CUST100411,CLEAR,2026-08-01,SCR-CUST100411,True
CUST100412,CLEAR,2026-08-01,SCR-CUST100412,True
CUST100413,CLEAR,2026-08-01,SCR-CUST100413,True
CUST100414,CLEAR,2026-08-01,SCR-CUST100414,True
CUST100415,CLEAR,2026-08-01,SCR-CUST100415,True
CUST100416,CLEAR,2026-08-01,SCR-CUST100416,True
CUST100417,CLEAR,2026-08-01,SCR-CUST100417,True
CUST100418,CLEAR,2026-08-01,SCR-CUST100418,True
CUST100419,PENDING,2026-08-01,SCR-CUST100419,True
CUST100420,PENDING,2026-08-01,SCR-CUST100420,True
CUST100421,CLEAR,2026-08-01,SCR-CUST100421,True
CUST100422,CLEAR,2026-08-01,SCR-CUST100422,True
CUST100423,CLEAR,2026-08-01,SCR-CUST100423,True
CUST100424,CLEAR,2026-08-01,SCR-CUST100424,True
CUST100425,CLEAR,2026-08-01,SCR-CUST100425,True
CUST100426,CLEAR,2026-08-01,SCR-CUST100426,True
CUST100427,PENDING,2026-08-01,SCR-CUST100427,True
CUST100428,NO_MATCH,2026-08-01,SCR-CUST100428,True
CUST100429,CLEAR,2026-08-01,SCR-CUST100429,True
CUST100430,CLEAR,2026-08-01,SCR-CUST100430,True
CUST100431,CLEAR,2026-08-01,SCR-CUST100431,True
CUST100432,NO_MATCH,2026-08-01,SCR-CUST100432,True
CUST100433,CLEAR,2026-08-01,SCR-CUST100433,True
CUST100434,CLEAR,2026-08-01,SCR-CUST100434,True
CUST100435,CLEAR,2026-08-01,SCR-CUST100435,True
CUST100436,CLEAR,2026-08-01,SCR-CUST100436,True
CUST100437,CLEAR,2026-08-01,SCR-CUST100437,True
CUST100438,CLEAR,2026-08-01,SCR-CUST100438,True
CUST100439,CLEAR,2026-08-01,SCR-CUST100439,True
CUST100440,CLEAR,2026-08-01,SCR-CUST100440,True
CUST100441,CLEAR,2026-08-01,SCR-CUST100441,True
CUST100442,CLEAR,2026-08-01,SCR-CUST100442,True
CUST100443,CLEAR,2026-08-01,SCR-CUST100443,True
CUST100444,PENDING,2026-08-01,SCR-CUST100444,True
CUST100445,CLEAR,2026-08-01,SCR-CUST100445,True
